"user_id","treat","block","platform","cluster_id","signup_cohort","baseline_activity","pre_metric","assignment_date"
1,0,3,"android",56,"cohort_C",1.79905267435572,1.87487610965097,2026-04-16
2,1,4,"web",474,"cohort_A",2.63222073756466,1.96573170976022,2026-04-16
3,0,4,"ios",17,"cohort_A",2.5474859176183,3.40688130063592,2026-04-16
4,1,8,"web",349,"cohort_C",5.01980577322152,4.43406871338036,2026-04-16
5,0,10,"web",45,"cohort_C",10.9374585780302,10.1582904586343,2026-04-16
6,1,8,"android",220,"cohort_A",5.60088182421629,6.28985005111481,2026-04-16
7,0,2,"ios",416,"cohort_A",1.34220227036149,1.77022545402903,2026-04-16
8,0,2,"web",51,"cohort_B",1.21898499921058,2.10324311902601,2026-04-16
9,0,7,"ios",413,"cohort_B",4.43004823755803,3.96419964764259,2026-04-16
10,1,4,"ios",2,"cohort_A",2.65863217427864,2.02099689051181,2026-04-16
11,0,8,"web",238,"cohort_A",5.24661255577537,6.31484639987682,2026-04-16
12,1,1,"ios",102,"cohort_C",0.87972529857051,0.449967826072028,2026-04-16
13,0,4,"ios",56,"cohort_B",2.40256952150912,2.71376791799077,2026-04-16
14,1,10,"ios",302,"cohort_B",12.4313528739808,11.7993269196935,2026-04-16
15,0,9,"android",296,"cohort_A",7.40189201334478,8.00089747183603,2026-04-16
16,1,10,"web",138,"cohort_A",8.97666705647223,8.70703767362061,2026-04-16
17,1,1,"android",479,"cohort_A",0.972700718656077,1.28008462740119,2026-04-16
18,1,10,"android",483,"cohort_B",15.573036763981,15.0287170407367,2026-04-16
19,0,5,"android",44,"cohort_C",3.3141792673716,3.85662942278583,2026-04-16
20,1,1,"web",149,"cohort_B",0.88220115231562,1.64734943258523,2026-04-16
21,1,10,"web",388,"cohort_B",8.40032135462077,7.92974028547907,2026-04-16
22,1,10,"ios",388,"cohort_B",11.8218856535806,11.6830526519756,2026-04-16
23,0,10,"ios",176,"cohort_B",8.81315005546664,8.48872464504403,2026-04-16
24,1,9,"web",121,"cohort_C",6.90747046483638,6.21488234147559,2026-04-16
25,1,7,"ios",275,"cohort_B",4.81144533652534,4.66029563290473,2026-04-16
26,0,8,"web",82,"cohort_B",5.09120885207098,4.41064385523305,2026-04-16
